key,English
LIST_INFORMATION_COMPANY,List of Information __COMPANY_NAME__ holds for
NOTE_NO_INFORMATION_DISPLAYED,"<b>NOTE:</b> Where no information is displayed, this indicates that __COMPANY_NAME__ does not hold this information type"
